日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門售電量(度),服務業部門用電佔比(%),機關用電售電量(度),機關用電用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),合計售電量(度),縣市用電佔比(%)
2018年02月,新北市,547835895,0.5737,364456776,0.3817,41236333,0.0432,1405024,0.0015,954934028,15.641021641234
2018年02月,台北市,354475174,0.3832,483166870,0.5224,86076125,0.0931,1233070,0.0013,924951239,15.149928604581
2018年02月,桃園市,334760175,0.55,234547885,0.3854,37087299,0.0609,2231889,0.0037,608627248,9.9688058842662
2018年02月,台中市,373127315,0.4756,356377933,0.4542,44827736,0.0571,10252232,0.0131,784585216,12.850850407488
2018年02月,台南市,244103675,0.5281,162064584,0.3506,30795505,0.0666,25264831,0.0547,462228595,7.570918247341
2018年02月,高雄市,308006247,0.4706,270104698,0.4127,58599557,0.0895,17740379,0.0271,654450881,10.719358712438
2018年02月,宜蘭縣,59710346,0.5331,38237651,0.3414,10087896,0.0901,3977238,0.0355,112013131,1.8346815117089
2018年02月,新竹縣,78829832,0.556,52129105,0.3677,9627989,0.0679,1198807,0.0085,141785733,2.3223318608887
2018年02月,苗栗縣,57495931,0.5514,35522240,0.3407,9597966,0.0921,1649202,0.0158,104265339,1.7077791511369
2018年02月,彰化縣,155850739,0.519,95557079,0.3182,20325141,0.0677,28547772,0.0951,300280731,4.9183475238108
2018年02月,南投縣,65540769,0.5541,36165979,0.3057,9421977,0.0797,7161703,0.0605,118290428,1.9374983926102
2018年02月,雲林縣,81467587,0.5183,37818574,0.2406,11271488,0.0717,26638953,0.1695,157196602,2.5747490211024
2018年02月,嘉義縣,55704595,0.5317,24146782,0.2305,9105165,0.0869,15808291,0.1509,104764833,1.7159604455872
2018年02月,屏東縣,97457036,0.4468,50140464,0.2299,15293522,0.0701,55244321,0.2533,218135343,3.5728746913823
2018年02月,台東縣,26590552,0.5176,17368856,0.3381,5276718,0.1027,2134936,0.0416,51371062,0.8414150809538
2018年02月,花蓮縣,41731112,0.4975,29686034,0.3539,10558864,0.1259,1909132,0.0228,83885142,1.3739685495844
2018年02月,基隆市,52941548,0.6302,25864972,0.3079,5191697,0.0618,6809,0.0001,84005026,1.3759321493551
2018年02月,新竹市,61682054,0.4523,61213065,0.4489,12935749,0.0949,539276,0.004,136370144,2.2336290371696
2018年02月,嘉義市,34199613,0.5065,28012202,0.4149,4904954,0.0726,406244,0.006,67523013,1.1059705452389
2018年02月,澎湖縣,9817106,0.5147,5608796,0.2941,3322297,0.1742,324957,0.017,19073156,0.3124023618547
2018年02月,金門縣,5676864,0.4231,4638521,0.3457,2960813,0.2207,140687,0.0105,13416885,0.21975736803772
2018年02月,連江縣,1119700,0.3539,1218653,0.3852,811148,0.2564,14202,0.0045,3163703,0.051818812230488
2018年02月,合計,3048123865,0.4993,2414047719,0.3954,439315939,0.072,203829955,0.0334,6105317478,100
2018年01月,新北市,567843859,0.5341,442526232,0.4163,51174476,0.0481,1556751,0.0015,1063101318,15.702396246253
2018年01月,台北市,379926237,0.3521,588003141,0.5449,109770936,0.1017,1408516,0.0013,1079108830,15.938833067547
2018年01月,桃園市,288289755,0.4814,260899177,0.4356,47189703,0.0788,2517002,0.0042,598895637,8.8459081397981
2018年01月,台中市,386671662,0.4426,419129899,0.4798,55689165,0.0637,12076243,0.0138,873566969,12.90290441995
2018年01月,台南市,248451901,0.502,179417845,0.3625,38677548,0.0781,28406459,0.0574,494953753,7.3106484034819
2018年01月,高雄市,411493836,0.507,307203155,0.3785,73021013,0.09,19870567,0.0245,811588571,11.987460757501
2018年01月,宜蘭縣,60559363,0.4922,45599766,0.3706,12421034,0.101,4455169,0.0362,123035332,1.8172769637685
2018年01月,新竹縣,71348156,0.5143,54128981,0.3902,11892027,0.0857,1366661,0.0099,138735825,2.0491790018652
2018年01月,苗栗縣,67403269,0.5462,42078266,0.341,12050326,0.0976,1876444,0.0152,123408305,1.8227859117267
2018年01月,彰化縣,156805366,0.4981,102315633,0.325,24666992,0.0784,31029643,0.0986,314817634,4.64997188008
2018年01月,南投縣,54862303,0.4943,37035743,0.3337,10717388,0.0966,8370002,0.0754,110985436,1.6392955818301
2018年01月,雲林縣,85653430,0.4959,45660481,0.2643,14032541,0.0812,27382863,0.1585,172729315,2.5512753126639
2018年01月,嘉義縣,60588123,0.5127,28321123,0.2397,12514072,0.1059,16743146,0.1417,118166464,1.7453619982688
2018年01月,屏東縣,113193382,0.4519,57578444,0.2299,19264565,0.0769,60461499,0.2414,250497890,3.6999456787715
2018年01月,台東縣,25183074,0.4724,19204000,0.3602,6486786,0.1217,2437430,0.0457,53311290,0.78742729954825
2018年01月,花蓮縣,40296590,0.4421,35219227,0.3864,13494750,0.148,2146211,0.0235,91156778,1.3464190331177
2018年01月,基隆市,46401463,0.5633,29533048,0.3585,6429378,0.0781,7954,0.0001,82371843,1.2166623222267
2018年01月,新竹市,65729227,0.4319,69094038,0.454,16764649,0.1102,593879,0.0039,152181793,2.2477808791046
2018年01月,嘉義市,34788106,0.4683,33135938,0.4461,5946414,0.0801,408469,0.0055,74278927,1.0971269856901
2018年01月,澎湖縣,11967832,0.5113,7574977,0.3236,3506196,0.1498,357723,0.0153,23406728,0.3457259544892
2018年01月,金門縣,7272117,0.4321,6140826,0.3649,3252793,0.1933,163420,0.0097,16829156,0.24857280442391
2018年01月,連江縣,965698,0.3032,1300199,0.4082,904972,0.2841,13978,0.0044,3184847,0.047041357894066
